"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"ETR";"Entergy Corp.";"Utilities";74.63;0.67449075;1249783;-4.897;3.48
"EW";"Edwards Lifesciences";"Health Care";126.89;0.49101353;1159630;2.7;NA
"EVHC";"Envision Healthcare";"Health Care";36.69;-0.43419227;1831916;-4.698;NA
"EXC";"Exelon Corp.";"Utilities";37.17;0.84101343;7420658;2.235;1.296
"EXPD";"Expeditors International";"Industrials";62.37;2.886836;1817845;2.38;0.82
"EXPE";"Expedia Inc.";"Consumer Discretionary";102.82;-1.1346157;4820580;2.42;1.16
"EXR";"Extra Space Storage";"Real Estate";80.8;0.5100182;1196394;2.729;3.12
"F";"Ford Motor";"Consumer Discretionary";10.7;1.6144358;49068946;1.9;0.6
"FAST";"Fastenal Co";"Industrials";52.84;-1.1967078;3428028;2.008;1.28
"FB";"Facebook, Inc.";"Information Technology";176.41;0.1703498;32092133;5.39;NA
"FBHS";"Fortune Brands Home & Security";"Industrials";63.15;2.3334992;3198096;3.033;0.72
"FCX";"Freeport-McMoRan Inc.";"Materials";17.57;0;26314090;1.253;0.05
"FDX";"FedEx Corporation";"Industrials";239.93;1.9590282;2667200;10.857;1.9
"FE";"FirstEnergy Corp";"Utilities";31.5;0.671138;7463103;-11.405;1.44
"FFIV";"F5 Networks";"Information Technology";140.15;1.0891478;622824;6.48;NA
"FIS";"Fidelity National Information Services";"Information Technology";95.15;0.1262788;1789938;1.616;1.13
"FISV";"Fiserv Inc";"Information Technology";138.64;0.8584262;1832789;5.775;NA
"FITB";"Fifth Third Bancorp";"Financials";32.25;0.8442791;5447267;2.83;0.6
"FL";"Foot Locker Inc";"Consumer Discretionary";46.34;0.21625967;3269176;3.973;1.205
"FLIR";"FLIR Systems";"Information Technology";47.68;1.3605429;996568;1.57;0.57
"FLR";"Fluor Corp.";"Industrials";56.31;2.363212;1549137;1.43;0.84
"FLS";"Flowserve Corporation";"Industrials";41.42;2.6263566;1415045;1.289;0.76
"FMC";"FMC Corporation";"Materials";85.22;3.072086;2411423;0.158;0.66
"FOX";"Twenty-First Century Fox Class B";"Consumer Discretionary";35.95;2.1597106;3098173;2.126;0.36
"FOXA";"Twenty-First Century Fox Class A";"Consumer Discretionary";36.4;1.8751806;12466642;2.126;0.36
"FRT";"Federal Realty Investment Trust";"Real Estate";110.24;0.30024037;678377;4.102;3.94
"FTI";"TechnipFMC";"Energy";29.69;1.8874439;2766566;0.191;0.13
"FTV";"Fortive Corp";"Industrials";74.3;2.5534937;3466852;2.65;0.28
"GD";"General Dynamics";"Industrials";209.53;-1.211696;2698764;9.56;3.36
"GE";"General Electric";"Industrials";14.82;-0.80321205;75582420;-0.716;0.84
"GGP";"General Growth Properties Inc.";"Real Estate";22.5;1.3057224;10253353;0.68;0.88
"GILD";"Gilead Sciences";"Health Care";80.14;1.0337868;10030660;3.51;2.08
"GIS";"General Mills";"Consumer Staples";54.92;0.36549148;2589897;2.727;1.94
"GLW";"Corning Inc.";"Information Technology";29.45;2.363574;9879495;-0.665;0.62
"GM";"General Motors";"Consumer Discretionary";42;1.3024625;19392043;-2.603;1.52
"GOOG";"Alphabet Inc Class C";"Information Technology";1051.94;1.3644425;2057718;18.224;NA
"GOOGL";"Alphabet Inc Class A";"Information Technology";1054.56;0.79234225;2812011;18.224;NA
"GPC";"Genuine Parts";"Consumer Discretionary";97.72;0.6903639;951601;4.469;2.682
"GPN";"Global Payments Inc.";"Information Technology";106.4;2.3766007;1900242;1.629;0.064
"GPS";"Gap Inc.";"Consumer Discretionary";31.42;-2.6943352;7131572;2.17;0.92
"GRMN";"Garmin Ltd.";"Consumer Discretionary";61.97;1.2250898;1170595;3.669;2.04
"GS";"Goldman Sachs Group";"Financials";253.16;1.5483356;3692544;9.008;2.9
